"""Remember Me"" Default Value",""" Remember Me "" Valor Padrão"
"(Not %s?)","(Não% s?)"
"* Required Fields","Campos obrigatórios"
"Address","Endereço"
"Address Information","Informações de Endereço"
"Already registered?","Já está registado?"
"Back","atrás, costas, parte de trás"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja, você será capaz de se mover através do processo de compra mais rápida, armazenar múltiplos endereços de envio, ver e rastrear seus pedidos na sua conta e muito mais."
"Cannot load configuration from file %s.","Não é possível carregar configuração do arquivo% s."
"Checkout as Guest","Checkout como Guest"
"Checkout as a Guest or Register","Checkout como um convidado ou Registrar"
"City","Cidade"
"Clear Persistence on Log Out","Persistência claras sobre Log Out"
"Close","Fechar"
"Company","EMPRESA:"
"Confirm Password","Confirmar senha:"
"Continue","Continuar"
"Country","[O PAÍS]"
"Create an Account","Crie uma Conta"
"Easy access to your order history and status","Fácil acesso ao seu histórico de pedidos e status"
"Email Address","Email"
"Enable ""Remember Me""","Enable "" Remember Me """
"Enable Persistence","Habilitar Persistência"
"Fast and easy check out","Rápido e fácil verificar"
"Fax","Fax"
"Forgot Your Password?","Esqueceu sua senha?"
"Forgot your password?","Esqueceu sua senha?"
"General Options","Opções Gerais"
"If you have an account with us, please log in.","Se você tem uma conta conosco, efetue o login"
"Loading next step...","Carregando próximo passo ..."
"Login","Iniciar sessão"
"Login Information","Informações de login"
"Login or Create an Account","Entrar ou Criar Conta"
"New Customers","Novos Clientes"
"Password","Senha"
"Persist Shopping Cart","Persistem Carrinho de Compras"
"Persistence Lifetime (seconds)","Lifetime persistência (segundos)"
"Persistent Shopping Cart","Carrinho de Compras persistente"
"Personal Information","Informações pessoais"
"Please log in below:","Faça o login abaixo:"
"Please select region, state or province","Por favor, selecione estado, região ou província"
"Register","registrar"
"Register and save time!","Registre-se e poupar tempo!"
"Register to Create an Account","Registre-se para Criar uma conta"
"Register with us for future convenience:","Registrar conosco por conveniência futuro:"
"Registered Customers","Clientes registados"
"Remember Me","//Lembre-me"
"Save in address book","Salvar em livro de endereços"
"Select State/Province...","Selecione Estado / Província ..."
"Select a billing address from your address book or enter a new address.","Selecione um endereço de faturamento do seu catálogo de endereços ou digitar um novo endereço."
"Ship to different address","Navio para abordar diferentes"
"Ship to this address","Navio para este endereço"
"Sign Up for Newsletter","Assine o boletim"
"State/Province","Estado:"
"Street Address","Endereço da Rua"
"Street Address %s","Endereço rua% s"
"Submit","Enviar"
"Telephone","Telefone"
"Welcome, %s!","Bem-vindo% s!,"
"What\'s this?","O que \ 's isso?"
"Zip/Postal Code","* Código de Endereçamento Postal - CEP /:"
